"","state","gender","age","freq"
"351","Pennsylvania","Male","21",95407
"352","Rhode Island","Male","21",9365
"353","South Carolina","Male","21",37655
"354","South Dakota","Male","21",6161
"355","Tennessee","Male","21",44348
"356","Texas","Male","21",197795
"357","Utah","Male","21",23407
"358","Vermont","Male","21",5097
"359","Virginia","Male","21",62115
"360","Washington","Male","21",48371
"361","West Virginia","Male","21",13828
"362","Wisconsin","Male","21",40258
"363","Wyoming","Male","21",3883
"364","Puerto Rico","Male","21",28967
"365","Alabama","Male","22.to.24",95906
"366","Alaska","Male","22.to.24",17764
"367","Arizona","Male","22.to.24",136152
"368","Arkansas","Male","22.to.24",57601
"369","California","Male","22.to.24",845258
"370","Colorado","Male","22.to.24",108172
"371","Connecticut","Male","22.to.24",65399
"372","Delaware","Male","22.to.24",17962
"373","District of Columbia","Male","22.to.24",15919
"374","Florida","Male","22.to.24",361672
"375","Georgia","Male","22.to.24",203765
"376","Hawaii","Male","22.to.24",31538
"377","Idaho","Male","22.to.24",34306
"378","Illinois","Male","22.to.24",261759
"379","Indiana","Male","22.to.24",131159
"380","Iowa","Male","22.to.24",63027
"381","Kansas","Male","22.to.24",63102
"382","Kentucky","Male","22.to.24",85936
"383","Louisiana","Male","22.to.24",98786
"384","Maine","Male","22.to.24",22507
"385","Maryland","Male","22.to.24",117523
"386","Massachusetts","Male","22.to.24",131905
"387","Michigan","Male","22.to.24",190817
"388","Minnesota","Male","22.to.24",107669
"389","Mississippi","Male","22.to.24",59219
"390","Missouri","Male","22.to.24",121328
"391","Montana","Male","22.to.24",20666
"392","Nebraska","Male","22.to.24",39893
"393","Nevada","Male","22.to.24",54643
"394","New Hampshire","Male","22.to.24",23655
"395","New Jersey","Male","22.to.24",162289
"396","New Mexico","Male","22.to.24",44358
"397","New York","Male","22.to.24",409326
"398","North Carolina","Male","22.to.24",192628
"399","North Dakota","Male","22.to.24",19237
"400","Ohio","Male","22.to.24",217316
"401","Oklahoma","Male","22.to.24",82451
"402","Oregon","Male","22.to.24",76135
"403","Pennsylvania","Male","22.to.24",246596
"404","Rhode Island","Male","22.to.24",22016
"405","South Carolina","Male","22.to.24",92668
"406","South Dakota","Male","22.to.24",17502
"407","Tennessee","Male","22.to.24",125401
"408","Texas","Male","22.to.24",545609
"409","Utah","Male","22.to.24",74456
"410","Vermont","Male","22.to.24",11659
"411","Virginia","Male","22.to.24",169957
"412","Washington","Male","22.to.24",143790
"413","West Virginia","Male","22.to.24",34196
"414","Wisconsin","Male","22.to.24",114672
"415","Wyoming","Male","22.to.24",12666
"416","Puerto Rico","Male","22.to.24",72291
"417","Alabama","Male","25.to.29",152809
"418","Alaska","Male","25.to.29",28740
"419","Arizona","Male","25.to.29",227908
"420","Arkansas","Male","25.to.29",96027
"421","California","Male","25.to.29",1416892
"422","Colorado","Male","25.to.29",191942
"423","Connecticut","Male","25.to.29",108227
"424","Delaware","Male","25.to.29",28932
"425","District of Columbia","Male","25.to.29",31914
"426","Florida","Male","25.to.29",600412
"427","Georgia","Male","25.to.29",333769
"428","Hawaii","Male","25.to.29",52159
"429","Idaho","Male","25.to.29",54336
"430","Illinois","Male","25.to.29",455010
"431","Indiana","Male","25.to.29",210427
"432","Iowa","Male","25.to.29",100435
"433","Kansas","Male","25.to.29",99952
"434","Kentucky","Male","25.to.29",141405
"435","Louisiana","Male","25.to.29",164173
"436","Maine","Male","25.to.29",36179
"437","Maryland","Male","25.to.29",195244
"438","Massachusetts","Male","25.to.29",220195
"439","Michigan","Male","25.to.29",297520
"440","Minnesota","Male","25.to.29",187268
"441","Mississippi","Male","25.to.29",96183
"442","Missouri","Male","25.to.29",199721
"443","Montana","Male","25.to.29",32410
"444","Nebraska","Male","25.to.29",64564
"445","Nevada","Male","25.to.29",100751
"446","New Hampshire","Male","25.to.29",37263
"447","New Jersey","Male","25.to.29",279894
"448","New Mexico","Male","25.to.29",71615
"449","New York","Male","25.to.29",684886
"450","North Carolina","Male","25.to.29",307639
"451","North Dakota","Male","25.to.29",26090
"452","Ohio","Male","25.to.29",361562
"453","Oklahoma","Male","25.to.29",133738
"454","Oregon","Male","25.to.29",132915
"455","Pennsylvania","Male","25.to.29",396017
"456","Rhode Island","Male","25.to.29",33334
"457","South Carolina","Male","25.to.29",151048
"458","South Dakota","Male","25.to.29",28833
"459","Tennessee","Male","25.to.29",208100
"460","Texas","Male","25.to.29",938304
"461","Utah","Male","25.to.29",115524
"462","Vermont","Male","25.to.29",17646
"463","Virginia","Male","25.to.29",283365
"464","Washington","Male","25.to.29",247227
"465","West Virginia","Male","25.to.29",54082
"466","Wisconsin","Male","25.to.29",187376
"467","Wyoming","Male","25.to.29",21097
"468","Puerto Rico","Male","25.to.29",118736
"469","Alabama","Male","30.to.34",146288
"470","Alaska","Male","30.to.34",24771
"471","Arizona","Male","30.to.34",213799
"472","Arkansas","Male","30.to.34",92044
"473","California","Male","30.to.34",1314799
"474","Colorado","Male","30.to.34",185366
"475","Connecticut","Male","30.to.34",102780
"476","Delaware","Male","30.to.34",26650
"477","District of Columbia","Male","30.to.34",27308
"478","Florida","Male","30.to.34",560548
"479","Georgia","Male","30.to.34",324888
"480","Hawaii","Male","30.to.34",45596
"481","Idaho","Male","30.to.34",52111
"482","Illinois","Male","30.to.34",435160
"483","Indiana","Male","30.to.34",206735
"484","Iowa","Male","30.to.34",95066
"485","Kansas","Male","30.to.34",91822
"486","Kentucky","Male","30.to.34",141224
"487","Louisiana","Male","30.to.34",146716
"488","Maine","Male","30.to.34",35599
"489","Maryland","Male","30.to.34",180866
"490","Massachusetts","Male","30.to.34",200745
"491","Michigan","Male","30.to.34",288031
"492","Minnesota","Male","30.to.34",176342
"493","Mississippi","Male","30.to.34",92518
"494","Missouri","Male","30.to.34",187434
"495","Montana","Male","30.to.34",30296
"496","Nebraska","Male","30.to.34",59635
"497","Nevada","Male","30.to.34",97639
"498","New Hampshire","Male","30.to.34",35736
"499","New Jersey","Male","30.to.34",277634
"500","New Mexico","Male","30.to.34",64551
"501","New York","Male","30.to.34",633562
"502","North Carolina","Male","30.to.34",307177
"503","North Dakota","Male","30.to.34",22193
"504","Ohio","Male","30.to.34",346481
"505","Oklahoma","Male","30.to.34",123225
"506","Oregon","Male","30.to.34",132658
"507","Pennsylvania","Male","30.to.34",367470
"508","Rhode Island","Male","30.to.34",30616
"509","South Carolina","Male","30.to.34",142877
"510","South Dakota","Male","30.to.34",25397
"511","Tennessee","Male","30.to.34",202239
"512","Texas","Male","30.to.34",889877
"513","Utah","Male","30.to.34",110525
"514","Vermont","Male","30.to.34",16876
"515","Virginia","Male","30.to.34",263759
"516","Washington","Male","30.to.34",232096
"517","West Virginia","Male","30.to.34",56552
"518","Wisconsin","Male","30.to.34",179059
"519","Wyoming","Male","30.to.34",18872
"520","Puerto Rico","Male","30.to.34",117691
"521","Alabama","Male","35.to.39",146600
"522","Alaska","Male","35.to.39",22650
"523","Arizona","Male","35.to.39",207899
"524","Arkansas","Male","35.to.39",89488
"525","California","Male","35.to.39",1295028
"526","Colorado","Male","35.to.39",180574
"527","Connecticut","Male","35.to.39",107923
"528","Delaware","Male","35.to.39",27028
"529","District of Columbia","Male","35.to.39",21434
"530","Florida","Male","35.to.39",582600
"531","Georgia","Male","35.to.39",335516
"532","Hawaii","Male","35.to.39",43912
"533","Idaho","Male","35.to.39",49536
"534","Illinois","Male","35.to.39",425883
"535","Indiana","Male","35.to.39",206101
"536","Iowa","Male","35.to.39",89248
"537","Kansas","Male","35.to.39",85826
"538","Kentucky","Male","35.to.39",141717
"539","Louisiana","Male","35.to.39",139297
"540","Maine","Male","35.to.39",39289
"541","Maryland","Male","35.to.39",181759
"542","Massachusetts","Male","35.to.39",200270
"543","Michigan","Male","35.to.39",303261
"544","Minnesota","Male","35.to.39",165369
"545","Mississippi","Male","35.to.39",89466
"546","Missouri","Male","35.to.39",182990
"547","Montana","Male","35.to.39",28575
"548","Nebraska","Male","35.to.39",55639
"549","Nevada","Male","35.to.39",98795
"550","New Hampshire","Male","35.to.39",39253
"551","New Jersey","Male","35.to.39",289863
"552","New Mexico","Male","35.to.39",62384
"553","New York","Male","35.to.39",616352
"554","North Carolina","Male","35.to.39",319115
"555","North Dakota","Male","35.to.39",18727
"556","Ohio","Male","35.to.39",351208
"557","Oklahoma","Male","35.to.39",117666
"558","Oregon","Male","35.to.39",125397
"559","Pennsylvania","Male","35.to.39",380260
"560","Rhode Island","Male","35.to.39",31706
"561","South Carolina","Male","35.to.39",145632
"562","South Dakota","Male","35.to.39",23772
"563","Tennessee","Male","35.to.39",208289
"564","Texas","Male","35.to.39",879995
"565","Utah","Male","35.to.39",90874
"566","Vermont","Male","35.to.39",17398
"567","Virginia","Male","35.to.39",262679
"568","Washington","Male","35.to.39",226568
"569","West Virginia","Male","35.to.39",57486
"570","Wisconsin","Male","35.to.39",174975
"571","Wyoming","Male","35.to.39",17540
"572","Puerto Rico","Male","35.to.39",113501
"573","Alabama","Male","40.to.44",156367
"574","Alaska","Male","40.to.44",25801
"575","Arizona","Male","40.to.44",210248
"576","Arkansas","Male","40.to.44",94177
"577","California","Male","40.to.44",1318867
"578","Colorado","Male","40.to.44",179461
"579","Connecticut","Male","40.to.44",128587
"580","Delaware","Male","40.to.44",29350
"581","District of Columbia","Male","40.to.44",20064
"582","Florida","Male","40.to.44",632243
"583","Georgia","Male","40.to.44",353593
"584","Hawaii","Male","40.to.44",45278
"585","Idaho","Male","40.to.44",48070
"586","Illinois","Male","40.to.44",435723
"587","Indiana","Male","40.to.44",216161
"588","Iowa","Male","40.to.44",96005
"589","Kansas","Male","40.to.44",90023
"590","Kentucky","Male","40.to.44",148862
"591","Louisiana","Male","40.to.44",142094
"592","Maine","Male","40.to.44",45209
"593","Maryland","Male","40.to.44",203049
"594","Massachusetts","Male","40.to.44",234031
"595","Michigan","Male","40.to.44",331617
"596","Minnesota","Male","40.to.44",179788
"597","Mississippi","Male","40.to.44",93842
"598","Missouri","Male","40.to.44",190565
"599","Montana","Male","40.to.44",29212
"600","Nebraska","Male","40.to.44",56882
"601","Nevada","Male","40.to.44",98509
"602","New Hampshire","Male","40.to.44",49305
"603","New Jersey","Male","40.to.44",319078
"604","New Mexico","Male","40.to.44",61388
"605","New York","Male","40.to.44",667155
"606","North Carolina","Male","40.to.44",335655
"607","North Dakota","Male","40.to.44",20535
"608","Ohio","Male","40.to.44",384093
"609","Oklahoma","Male","40.to.44",115509
"610","Oregon","Male","40.to.44",128927
"611","Pennsylvania","Male","40.to.44",421784
"612","Rhode Island","Male","40.to.44",35358
"613","South Carolina","Male","40.to.44",151532
"614","South Dakota","Male","40.to.44",24557
"615","Tennessee","Male","40.to.44",216511
"616","Texas","Male","40.to.44",855388
"617","Utah","Male","40.to.44",80810
"618","Vermont","Male","40.to.44",21571
"619","Virginia","Male","40.to.44",287366
"620","Washington","Male","40.to.44",235472
"621","West Virginia","Male","40.to.44",61952
"622","Wisconsin","Male","40.to.44",192034
"623","Wyoming","Male","40.to.44",17739
"624","Puerto Rico","Male","40.to.44",116835
"625","Alabama","Male","45.to.49",166638
"626","Alaska","Male","45.to.49",27606
"627","Arizona","Male","45.to.49",210282
"628","Arkansas","Male","45.to.49",98984
"629","California","Male","45.to.49",1332349
"630","Colorado","Male","45.to.49",182612
"631","Connecticut","Male","45.to.49",140156
"632","Delaware","Male","45.to.49",32331
"633","District of Columbia","Male","45.to.49",19431
"634","Florida","Male","45.to.49",683601
"635","Georgia","Male","45.to.49",349500
"636","Hawaii","Male","45.to.49",47489
"637","Idaho","Male","45.to.49",51215
"638","Illinois","Male","45.to.49",458482
"639","Indiana","Male","45.to.49",231137
"640","Iowa","Male","45.to.49",106603
"641","Kansas","Male","45.to.49",98701
"642","Kentucky","Male","45.to.49",157201
"643","Louisiana","Male","45.to.49",156888
"644","Maine","Male","45.to.49",51903
"645","Maryland","Male","45.to.49",218788
"646","Massachusetts","Male","45.to.49",249162
"647","Michigan","Male","45.to.49",363715
"648","Minnesota","Male","45.to.49",200594
"649","Mississippi","Male","45.to.49",99934
"650","Missouri","Male","45.to.49",215654
"651","Montana","Male","45.to.49",34410
"652","Nebraska","Male","45.to.49",63060
"653","Nevada","Male","45.to.49",98486
"654","New Hampshire","Male","45.to.49",55317
"655","New Jersey","Male","45.to.49",340948
"656","New Mexico","Male","45.to.49",69128
"657","New York","Male","45.to.49",704077
"658","North Carolina","Male","45.to.49",338631
"659","North Dakota","Male","45.to.49",22932
"660","Ohio","Male","45.to.49",415658
"661","Oklahoma","Male","45.to.49",127235
"662","Oregon","Male","45.to.49",129241
"663","Pennsylvania","Male","45.to.49",464272
"664","Rhode Island","Male","45.to.49",38591
"665","South Carolina","Male","45.to.49",158617
"666","South Dakota","Male","45.to.49",28564
"667","Tennessee","Male","45.to.49",225127
"668","Texas","Male","45.to.49",867986
"669","Utah","Male","45.to.49",77184
"670","Vermont","Male","45.to.49",23806
"671","Virginia","Male","45.to.49",300643
"672","Washington","Male","45.to.49",243645
"673","West Virginia","Male","45.to.49",65180
"674","Wisconsin","Male","45.to.49",216296
"675","Wyoming","Male","45.to.49",19394
"676","Puerto Rico","Male","45.to.49",114742
"677","Alabama","Male","50.to.54",167093
"678","Alaska","Male","50.to.54",29057
"679","Arizona","Male","50.to.54",202297
"680","Arkansas","Male","50.to.54",98348
"681","California","Male","50.to.54",1264705
"682","Colorado","Male","50.to.54",183493
"683","Connecticut","Male","50.to.54",137965
"684","Delaware","Male","50.to.54",31587
"685","District of Columbia","Male","50.to.54",18132
"686","Florida","Male","50.to.54",650718
"687","Georgia","Male","50.to.54",324236
"688","Hawaii","Male","50.to.54",48494
"689","Idaho","Male","50.to.54",51632
"690","Illinois","Male","50.to.54",453913
"691","Indiana","Male","50.to.54",232978
"692","Iowa","Male","50.to.54",110899
