"","state","gender","school","age","freq"
"1179","North Dakota","Female","not enrolled","25.to.34",36430
"1180","Ohio","Female","not enrolled","25.to.34",595943
"1181","Oklahoma","Female","not enrolled","25.to.34",211863
"1182","Oregon","Female","not enrolled","25.to.34",220403
"1183","Pennsylvania","Female","not enrolled","25.to.34",653957
"1184","Rhode Island","Female","not enrolled","25.to.34",53746
"1185","South Carolina","Female","not enrolled","25.to.34",254890
"1186","South Dakota","Female","not enrolled","25.to.34",43999
"1187","Tennessee","Female","not enrolled","25.to.34",361686
"1188","Texas","Female","not enrolled","25.to.34",1550715
"1189","Utah","Female","not enrolled","25.to.34",189317
"1190","Vermont","Female","not enrolled","25.to.34",29630
"1191","Virginia","Female","not enrolled","25.to.34",460225
"1192","Washington","Female","not enrolled","25.to.34",399225
"1193","West Virginia","Female","not enrolled","25.to.34",94544
"1194","Wisconsin","Female","not enrolled","25.to.34",299966
"1195","Wyoming","Female","not enrolled","25.to.34",31522
"1196","Puerto Rico","Female","not enrolled","25.to.34",218242
"1197","Alabama","Female","not enrolled","35.and.over",1323106
"1198","Alaska","Female","not enrolled","35.and.over",157652
"1199","Arizona","Female","not enrolled","35.and.over",1635790
"1200","Arkansas","Female","not enrolled","35.and.over",785876
"1201","California","Female","not enrolled","35.and.over",9381961
"1202","Colorado","Female","not enrolled","35.and.over",1279422
"1203","Connecticut","Female","not enrolled","35.and.over",1034174
"1204","Delaware","Female","not enrolled","35.and.over",251917
"1205","District of Columbia","Female","not enrolled","35.and.over",149300
"1206","Florida","Female","not enrolled","35.and.over",5525212
"1207","Georgia","Female","not enrolled","35.and.over",2485152
"1208","Hawaii","Female","not enrolled","35.and.over",368713
"1209","Idaho","Female","not enrolled","35.and.over",381280
"1210","Illinois","Female","not enrolled","35.and.over",3400937
"1211","Indiana","Female","not enrolled","35.and.over",1722154
"1212","Iowa","Female","not enrolled","35.and.over",825465
"1213","Kansas","Female","not enrolled","35.and.over",735226
"1214","Kentucky","Female","not enrolled","35.and.over",1189983
"1215","Louisiana","Female","not enrolled","35.and.over",1190249
"1216","Maine","Female","not enrolled","35.and.over",402345
"1217","Maryland","Female","not enrolled","35.and.over",1588765
"1218","Massachusetts","Female","not enrolled","35.and.over",1863672
"1219","Michigan","Female","not enrolled","35.and.over",2728656
"1220","Minnesota","Female","not enrolled","35.and.over",1405069
"1221","Mississippi","Female","not enrolled","35.and.over",784532
"1222","Missouri","Female","not enrolled","35.and.over",1629261
"1223","Montana","Female","not enrolled","35.and.over",273005
"1224","Nebraska","Female","not enrolled","35.and.over",472084
"1225","Nevada","Female","not enrolled","35.and.over",680180
"1226","New Hampshire","Female","not enrolled","35.and.over",383073
"1227","New Jersey","Female","not enrolled","35.and.over",2510682
"1228","New Mexico","Female","not enrolled","35.and.over",532207
"1229","New York","Female","not enrolled","35.and.over",5418104
"1230","North Carolina","Female","not enrolled","35.and.over",2587023
"1231","North Dakota","Female","not enrolled","35.and.over",175550
"1232","Ohio","Female","not enrolled","35.and.over",3205801
"1233","Oklahoma","Female","not enrolled","35.and.over",980306
"1234","Oregon","Female","not enrolled","35.and.over",1043123
"1235","Pennsylvania","Female","not enrolled","35.and.over",3672404
"1236","Rhode Island","Female","not enrolled","35.and.over",302266
"1237","South Carolina","Female","not enrolled","35.and.over",1275643
"1238","South Dakota","Female","not enrolled","35.and.over",212426
"1239","Tennessee","Female","not enrolled","35.and.over",1756596
"1240","Texas","Female","not enrolled","35.and.over",6104738
"1241","Utah","Female","not enrolled","35.and.over",556745
"1242","Vermont","Female","not enrolled","35.and.over",183152
"1243","Virginia","Female","not enrolled","35.and.over",2155342
"1244","Washington","Female","not enrolled","35.and.over",1774635
"1245","West Virginia","Female","not enrolled","35.and.over",544830
"1246","Wisconsin","Female","not enrolled","35.and.over",1536859
"1247","Wyoming","Female","not enrolled","35.and.over",141540
"1248","Puerto Rico","Female","not enrolled","35.and.over",1036420
