"","state","gender","school","age","freq"
"257","West Virginia","Male","private","15.to.17",70
"258","Wisconsin","Male","private","15.to.17",95
"259","Wyoming","Male","private","15.to.17",2
"260","Puerto Rico","Male","private","15.to.17",1301
"261","Alabama","Male","private","18.to.24",11381
"262","Alaska","Male","private","18.to.24",1412
"263","Arizona","Male","private","18.to.24",11923
"264","Arkansas","Male","private","18.to.24",7342
"265","California","Male","private","18.to.24",122890
"266","Colorado","Male","private","18.to.24",12504
"267","Connecticut","Male","private","18.to.24",27998
"268","Delaware","Male","private","18.to.24",3463
"269","District of Columbia","Male","private","18.to.24",14270
"270","Florida","Male","private","18.to.24",65282
"271","Georgia","Male","private","18.to.24",29517
"272","Hawaii","Male","private","18.to.24",4244
"273","Idaho","Male","private","18.to.24",6427
"274","Illinois","Male","private","18.to.24",74371
"275","Indiana","Male","private","18.to.24",27107
"276","Iowa","Male","private","18.to.24",18240
"277","Kansas","Male","private","18.to.24",7301
"278","Kentucky","Male","private","18.to.24",11349
"279","Louisiana","Male","private","18.to.24",12146
"280","Maine","Male","private","18.to.24",6668
"281","Maryland","Male","private","18.to.24",24378
"282","Massachusetts","Male","private","18.to.24",86152
"283","Michigan","Male","private","18.to.24",30068
"284","Minnesota","Male","private","18.to.24",26383
"285","Mississippi","Male","private","18.to.24",6417
"286","Missouri","Male","private","18.to.24",28828
"287","Montana","Male","private","18.to.24",1836
"288","Nebraska","Male","private","18.to.24",7465
"289","Nevada","Male","private","18.to.24",4285
"290","New Hampshire","Male","private","18.to.24",9504
"291","New Jersey","Male","private","18.to.24",45520
"292","New Mexico","Male","private","18.to.24",4318
"293","New York","Male","private","18.to.24",170123
"294","North Carolina","Male","private","18.to.24",32000
"295","North Dakota","Male","private","18.to.24",2098
"296","Ohio","Male","private","18.to.24",51488
"297","Oklahoma","Male","private","18.to.24",10849
"298","Oregon","Male","private","18.to.24",10731
"299","Pennsylvania","Male","private","18.to.24",107957
"300","Rhode Island","Male","private","18.to.24",15394
"301","South Carolina","Male","private","18.to.24",16209
"302","South Dakota","Male","private","18.to.24",1977
"303","Tennessee","Male","private","18.to.24",25660
"304","Texas","Male","private","18.to.24",64396
"305","Utah","Male","private","18.to.24",19520
"306","Vermont","Male","private","18.to.24",6775
"307","Virginia","Male","private","18.to.24",27900
"308","Washington","Male","private","18.to.24",18372
"309","West Virginia","Male","private","18.to.24",4803
"310","Wisconsin","Male","private","18.to.24",20151
"311","Wyoming","Male","private","18.to.24",710
"312","Puerto Rico","Male","private","18.to.24",44819
"313","Alabama","Male","private","25.to.34",4835
"314","Alaska","Male","private","25.to.34",1138
"315","Arizona","Male","private","25.to.34",12550
"316","Arkansas","Male","private","25.to.34",2641
"317","California","Male","private","25.to.34",88251
"318","Colorado","Male","private","25.to.34",10132
"319","Connecticut","Male","private","25.to.34",8836
"320","Delaware","Male","private","25.to.34",1881
"321","District of Columbia","Male","private","25.to.34",6207
"322","Florida","Male","private","25.to.34",36758
"323","Georgia","Male","private","25.to.34",17663
"324","Hawaii","Male","private","25.to.34",3472
"325","Idaho","Male","private","25.to.34",3531
"326","Illinois","Male","private","25.to.34",38117
"327","Indiana","Male","private","25.to.34",8486
"328","Iowa","Male","private","25.to.34",4944
"329","Kansas","Male","private","25.to.34",4508
"330","Kentucky","Male","private","25.to.34",5700
"331","Louisiana","Male","private","25.to.34",5822
"332","Maine","Male","private","25.to.34",1369
"333","Maryland","Male","private","25.to.34",15027
"334","Massachusetts","Male","private","25.to.34",31635
"335","Michigan","Male","private","25.to.34",14249
"336","Minnesota","Male","private","25.to.34",11087
